"store_id","date","summed_revenue","result_aarima","result_sarima"
"S0036",2019-09-22,1185.74,3239.18,3239.18
"S0036",2019-09-29,1684.47,3239.18,3239.18
"S0038",2019-09-01,8794.7,16181.42,15097.94
"S0038",2019-09-08,9482.83,15983.91,15097.94
"S0038",2019-09-15,9195.3,17041.47,15097.94
"S0038",2019-09-22,7981.76,16583.68,15097.94
"S0038",2019-09-29,10445.6,16529.94,15097.94
"S0039",2019-09-01,595.78,1454.15,1495.85
"S0039",2019-09-08,784.55,1232.05,1192.71
"S0039",2019-09-15,627.13,1008.68,1081.31
"S0039",2019-09-22,632.01,912.06,1040.36
"S0039",2019-09-29,1049.1,1043.23,1025.32
"S0040",2019-09-01,3278.88,5616.88,5670.12
"S0040",2019-09-08,3793.41,5257.47,4450.21
"S0040",2019-09-15,4288.84,5835.45,5337.8
"S0040",2019-09-22,4949.22,4327.05,4692
"S0040",2019-09-29,3908.95,5329.76,5161.87
"S0041",2019-09-01,319.39,265.75,265.75
"S0041",2019-09-08,228.27,265.75,265.75
"S0041",2019-09-15,209.61,265.75,265.75
"S0041",2019-09-22,143.22,265.75,265.75
"S0041",2019-09-29,139.75,265.75,265.75
"S0045",2019-09-01,638.9,1461.04,1489.37
"S0045",2019-09-08,819.72,1054.9,1055.02
"S0045",2019-09-15,757.19,1165.41,1055.02
"S0045",2019-09-22,1027.42,1078.87,1055.02
"S0045",2019-09-29,993.66,1088.97,1055.02
"S0046",2019-09-01,939,4297.74,4297.74
"S0046",2019-09-08,1087.48,2855.9,2855.9
"S0046",2019-09-15,1181.58,2113.26,2113.26
"S0046",2019-09-22,1057.04,1730.76,1730.76
"S0046",2019-09-29,1528.96,1533.75,1533.75
"S0050",2019-09-01,2826.01,6365.03,5378.21
"S0050",2019-09-08,2663.06,6524.08,4636.55
"S0050",2019-09-15,2843.01,6822.41,3854.74
"S0050",2019-09-22,2429.3,6414.51,2692.82
"S0050",2019-09-29,2124.72,6777.9,4027.44
"S0052",2019-09-01,1325.52,1881.74,1881.74
"S0052",2019-09-08,1166.98,1153.67,1153.67
"S0052",2019-09-15,1026.7,1153.67,1153.67
