"store_id","ME_avg","RMSE_avg","MAE_avg","MPE_avg","MAPE_avg","ME_naive","RMSE_naive","MAE_naive","MPE_naive","MAPE_naive","ME_snaive","RMSE_snaive","MAE_snaive","MPE_snaive","MAPE_snaive","ME_rwf","RMSE_rwf","MAE_rwf","MPE_rwf","MAPE_rwf","ME_avgmodels","RMSE_avgmodels","MAE_avgmodels","MPE_avgmodels","MAPE_avgmodels"
"S0089","-234.412","241.586961320349","234.412","-74.4377758724715","74.4377758724715","932.128","933.958180284321","932.128","62.9199770495123","62.9199770495123","-249.024","262.932888319434","249.024","-97.0989073830485","97.0989073830485","960.67","961.898071741492","960.67","63.6450454311265","63.6450454311265","352.34","356.188015351443","352.34","39.1125172673522","39.1125172673522"
"S0091","-690.922","733.28960321281","690.922","-56.4234440969188","56.4234440969188","6386.408","6391.13038316071","6386.408","76.927435538542","76.927435538542","-390.428","970.12559003461","905.024","-53.5261975758854","69.4317157146842","6552.106","6556.54558897748","6552.106","77.3828909724458","77.3828909724458","2964.29","2981.48403185058","2964.29","60.6835830840982","60.6835830840982"
"S0092","-221.954","266.012477639678","221.954","-22.0968480576628","22.0968480576628","2605.646","2609.76821527507","2605.646","67.9959603972798","67.9959603972798","-364.724","497.172258679022","435.524","-53.8888558873683","59.2513953679291","2814.668","2823.14659233983","2814.668","69.5811871799381","69.5811871799381","1208.408","1224.49503680497","1208.408","49.479778729974","49.479778729974"
"S0094","-2113.09","2247.32139370852","2113.09","-61.3826038710352","61.3826038710352","5650.39","5701.9480224411","5650.39","50.4230334366414","50.4230334366414","-1207.82","1368.97173377685","1207.82","-28.0164015056717","28.0164015056717","5876.17","5933.41126821831","5876.17","51.3678913133447","51.3678913133447","2051.412","2178.39423826818","2051.412","27.0027828281667","27.0027828281667"
"S0095","-642.742","809.924277584022","642.742","-9.47394797702345","9.47394797702345","-117.232","506.560360352051","436.66","-1.60376042091324","5.97360810526114","-126.56","658.710465530949","629.936","-2.01243560932331","8.56354224780032","-124.062","509.520957429624","438.026","-1.70006953011911","5.9990717173389","-252.65","571.724141260451","511.594","-3.54890805886493","7.12249599515301"
"S0097","678.749999999999","1345.71242166371","1152.234","6.70163198932082","11.3765719831795","27218.72","27243.5122331486","27218.72","74.2299710102241","74.2299710102241","-2407.49","2804.13347581388","2407.49","-37.4032355235279","37.4032355235279","27932.426","27952.7297498291","27932.426","74.7316323382648","74.7316323382648","13355.6","13396.187367243","13355.6","58.5918789078078","58.5918789078078"
"S0099","-105.06","174.719628319202","108.952","-24.1661682844919","25.0614160187698","1263.83","1271.51705211531","1263.83","70.0714669860226","70.0714669860226","-66.26","114.791712418624","103.78","-16.1627115394672","23.1457750049427","1301.072","1309.88489540112","1301.072","70.6265237555142","70.6265237555142","598.396","610.687639075821","598.396","52.7488941132705","52.7488941132705"
"S0102","-406.626","486.719569012794","406.626","-24.0853654924864","24.0853654924864","5179.884","5186.78604614071","5179.884","71.2033078663547","71.2033078663547","669.12","1135.05836831416","946.136","16.8145255736328","31.1401483402318","5319.996","5324.52673430419","5319.996","71.7702630412522","71.7702630412522","2690.594","2718.99871636233","2690.594","56.0521777812394","56.0521777812394"
"S0104","-2387.588","2575.09640952722","2387.588","-53.6004238486717","53.6004238486717","17525.712","17552.2399188126","17525.712","71.9218375785671","71.9218375785671","-1792.852","1854.16156561396","1792.852","-37.814778302886","37.814778302886","18007.392","18024.5080943797","18007.392","72.4934875539999","72.4934875539999","7838.168","7868.70380276193","7838.168","53.500820671673","53.500820671673"
"S0107","-178.21","351.658642521409","283.194","-16.3758327590168","26.0228807718815","3322.06","3335.86385219181","3322.06","72.3993793205652","72.3993793205652","-31.024","407.838631225636","322.84","-6.07466870783823","26.2659070046285","3403.87","3414.328028825","3403.87","72.9316135745835","72.9316135745835","1629.174","1657.81247838831","1629.174","56.2558624709385","56.2558624709385"
"S0108","-912.916","1228.61600889782","912.916","-30.9071211413327","30.9071211413327","16206.544","16227.3888872548","16206.544","80.7372217683279","80.7372217683279","-1306.896","1477.25328218285","1306.896","-51.1026349127215","51.1026349127215","16610.668","16630.5650350323","16610.668","81.121977343645","81.121977343645","7649.35","7688.61413492575","7649.35","66.4532711986903","66.4532711986903"
"S0109","-503.04","630.207354225576","503.04","-43.189779517824","43.189779517824","3341.51","3363.00477963086","3341.51","66.7065261006095","66.7065261006095","NaN","NaN","NaN","NaN","NaN","3642.068","3659.57199634602","3642.068","68.6298273726802","68.6298273726802","2160.178","2191.02366580099","2160.178","56.465626552783","56.465626552783"
"S0120","-140.414","166.922991765664","140.414","-40.1435187832352","40.1435187832352","483.096","491.455938004619","483.096","49.6353604783775","49.6353604783775","-130.774","141.452955642503","130.774","-36.5599255779895","36.5599255779895","497.282","504.591652626161","497.282","50.4012911163763","50.4012911163763","177.298","193.431375686573","177.298","26.7908729424209","26.7908729424209"
"S0122","-748.374","854.865583340445","748.374","-64.3568817990283","64.3568817990283","2651.036","2683.04368115765","2651.036","58.107955267784","58.107955267784","-600.478","797.263584355889","604.642","-50.7789383018313","51.076381745432","2735.57","2765.60840701282","2735.57","58.8829987177453","58.8829987177453","1009.436","1099.15177141285","1009.436","34.4502396439311","34.4502396439311"
"S0126","-789.68","1120.0840059567","893.084","-27.5499239453523","31.1574261432618","4284.38","4357.39666112692","4284.38","53.9565917168109","53.9565917168109","-878.358","1289.63752230617","878.358","-34.6892318506428","34.6892318506428","4405.452","4467.63682923758","4405.452","54.7092064968684","54.7092064968684","1755.446","1932.91282999001","1755.446","32.3951793327906","32.3951793327906"
"S0131","-551.584","585.626856795349","551.584","-43.4680914779265","43.4680914779265","5340.506","5344.12932500515","5340.506","74.5773443205796","74.5773443205796","-581.8","615.937549659054","581.8","-47.5566409094492","47.5566409094492","5481.062","5484.05720946272","5481.062","75.0742338995705","75.0742338995705","2422.046","2429.45803258669","2422.046","57.0972710191457","57.0972710191457"
"S0132","-1087.182","1138.62345021521","1087.182","-51.6679735952894","51.6679735952894","10854.668","10859.9408861411","10854.668","77.2793147097897","77.2793147097897","-679.062","1118.39560583007","1115.046","-42.8089917187005","51.8874146804572","11124.554","11128.3434860603","11124.554","77.7172615813939","77.7172615813939","5053.244","5055.23727074803","5053.244","61.3736160870791","61.3736160870791"
