"store_id","ME_ses","RMSE_ses","MAE_ses","MPE_ses","MAPE_ses","ME_holt","RMSE_holt","MAE_holt","MPE_holt","MAPE_holt","ME_holtdamped","RMSE_holtdamped","MAE_holtdamped","MPE_holtdamped","MAPE_holtdamped","ME_ets","RMSE_ets","MAE_ets","MPE_ets","MAPE_ets","ME_stlf","RMSE_stlf","MAE_stlf","MPE_stlf","MAPE_stlf"
"S0055","100.892","288.906647206325","246.664","5.92377742679827","14.4826411925997","74.2860000000001","277.274943801275","239.506","4.4643697945526","14.2773168273504","104.204","289.983700162613","247.276","6.10732110000452","14.4902702484144","-9.89799999999986","270.898182976557","227.642","-0.6215852999912","14.2957083108303","260.908","455.998539734504","345.372","11.7759172378352","16.557076031083"
"S0056","7736.218","7772.3525811417","7736.218","60.4029613481911","60.4029613481911","7950.654","7976.75853319756","7950.654","61.0994404583571","61.0994404583571","7638.478","7674.97147619325","7638.478","60.0989397238205","60.0989397238205","10858.808","10884.5811533067","10858.808","68.164619934251","68.164619934251","5383.714","5426.93152325142","5383.714","51.5513158188814","51.5513158188814"
"S0058","1828.38","1847.43545494829","1828.38","48.5088228973488","48.5088228973488","1928.448","1946.6532167081","1928.448","49.8389060577913","49.8389060577913","1573.666","1595.76483487386","1573.666","44.7769587042987","44.7769587042987","4458.4","4466.24841402715","4458.4","69.671317776156","69.671317776156","1100.786","1109.82804245523","1100.786","36.2481679074058","36.2481679074058"
"S0059","910.414","917.027704695992","910.414","45.0512658102571","45.0512658102571","787.558","795.26493295002","787.558","41.4914236808944","41.4914236808944","448.522","461.792821273783","448.522","28.7709250759323","28.7709250759323","191.286","228.125571867776","197.658","14.4946776318034","15.0030710702409","261.288","341.602499405376","261.288","17.6532278072079","17.6532278072079"
"S0061","9237.04","9248.83522312296","9237.04","70.9784798668497","70.9784798668497","9695.812","9710.75287962782","9695.812","71.9558745239094","71.9558745239094","9176.622","9188.49224699787","9176.622","70.8431304541763","70.8431304541763","10766.35","10776.4714700768","10766.35","74.0302836314229","74.0302836314229","NaN","NaN","NaN","NaN","NaN"
"S0062","3827.134","4071.70774114007","3827.134","25.8892059252885","25.8892059252885","4782.54","4967.68796748346","4782.54","30.4134554772948","30.4134554772948","2782.396","3109.48466396604","2782.396","20.2545195004639","20.2545195004639","20027.404","20075.5762122665","20027.404","64.6399558984101","64.6399558984101","3627.118","4138.68112877279","3627.118","23.9284820053709","23.9284820053709"
"S0067","3888.94","3898.01376009885","3888.94","67.0238801031312","67.0238801031312","3931.164","3940.00468824087","3931.164","67.2646562363764","67.2646562363764","3843.34","3852.51449150292","3843.34","66.7627481729192","66.7627481729192","4854.86","4862.13148422788","4854.86","71.7300213940404","71.7300213940404","2574.844","2588.26231411733","2574.844","57.4006897491452","57.4006897491452"
"S0068","199.634","337.008147943043","327.93","24.9212293710833","40.9370084637855","123.604","291.01376640977","277.032","17.4504267720569","38.233651512314","51.612","265.961666335583","232.188","8.54575033369645","35.4829184224846","79.284","282.854574790651","255.72","11.6472506647471","37.5666583420252","173.45","321.209544036288","313.874","22.4258084180926","40.6451820071109"
"S0071","2002.674","2005.22795682187","2002.674","50.0505835603429","50.0505835603429","82.8019999999999","120.04118518242","94.634","3.95687056421355","4.52952731931519","23.748","102.988784632114","89.992","1.17657930284373","4.44785563591699","2085.274","2087.72691308514","2085.274","51.060848698548","51.060848698548","NaN","NaN","NaN","NaN","NaN"
"S0072","4879.204","4883.02296828921","4879.204","59.8942105502205","59.8942105502205","4872.266","4875.7004987981","4872.266","59.8629808847884","59.8629808847884","5048.592","5051.57311047559","5048.592","60.7181956498426","60.7181956498426","5330.604","5334.09979659549","5330.604","61.9998441456331","61.9998441456331","2249.808","2274.69721719617","2249.808","40.6487058629351","40.6487058629351"
