store_id,date,summed_revenue
S0002,2017-12-14,162.69
S0002,2017-12-15,364.55
S0002,2017-12-16,478.43
S0002,2017-12-17,459.0
S0002,2017-12-18,384.88
S0002,2017-12-19,330.93
S0002,2017-12-20,417.06
S0002,2017-12-21,304.73
S0002,2017-12-22,316.17
S0002,2017-12-23,773.67
S0002,2017-12-24,599.4300000000001
S0002,2017-12-25,312.87
S0002,2017-12-26,284.02
S0002,2017-12-27,258.21
S0002,2017-12-28,258.02
S0002,2017-12-29,321.6
S0002,2017-12-30,452.85
S0002,2017-12-31,666.71
S0002,2018-01-01,270.77
S0002,2018-01-02,262.54
S0002,2018-01-03,240.72
S0002,2018-01-04,217.68
S0002,2018-01-05,254.20000000000002
S0002,2018-01-06,486.04
S0002,2018-01-07,500.40999999999997
S0002,2018-01-08,264.2
S0002,2018-01-09,222.70000000000002
S0002,2018-01-10,336.03000000000003
S0002,2018-01-11,382.7
S0002,2018-01-12,310.45
S0002,2018-01-13,399.37
S0002,2018-01-14,543.62
S0002,2018-01-15,350.52
S0002,2018-01-16,275.6
S0002,2018-01-17,679.67
S0002,2018-01-18,2227.64
S0002,2018-01-19,371.17
S0002,2018-01-20,524.28
S0002,2018-01-21,530.99
S0002,2018-01-22,302.34000000000003
S0002,2018-01-23,367.53000000000003
S0002,2018-01-24,298.63
S0002,2018-01-25,377.17
S0002,2018-01-26,412.23
S0002,2018-01-27,353.36
S0002,2018-01-28,419.82
S0002,2018-01-29,285.72
S0002,2018-01-30,180.27
S0002,2018-01-31,289.99
S0002,2018-02-01,379.95
S0002,2018-02-02,412.68
S0002,2018-02-03,550.61
S0002,2018-02-04,552.24
S0002,2018-02-05,389.97
S0002,2018-02-06,484.58
S0002,2018-02-07,353.67
S0002,2018-02-08,353.59000000000003
S0002,2018-02-09,364.48
S0002,2018-02-10,650.95
S0002,2018-02-11,720.95
S0002,2018-02-12,416.48
S0002,2018-02-13,321.97
S0002,2018-02-14,367.99
S0002,2018-02-15,300.68
S0002,2018-02-16,303.34
S0002,2018-02-17,355.84
S0002,2018-02-18,725.74
S0002,2018-02-19,392.93
S0002,2018-02-20,378.36
S0002,2018-02-21,238.7
S0002,2018-02-22,380.64
S0002,2018-02-23,524.66
S0002,2018-02-24,1621.27
S0002,2018-02-25,926.13
S0002,2018-02-26,448.56
S0002,2018-02-27,384.58
S0002,2018-02-28,566.1
S0002,2018-03-01,427.79
S0002,2018-03-02,393.75
S0002,2018-03-03,338.89
S0002,2018-03-04,577.22
S0002,2018-03-05,404.13
S0002,2018-03-06,285.5
S0002,2018-03-07,571.54
S0002,2018-03-08,318.34
S0002,2018-03-09,265.21999999999997
S0002,2018-03-10,372.39
S0002,2018-03-11,344.89
S0002,2018-03-12,303.42
S0002,2018-03-13,212.19
S0002,2018-03-14,184.37
S0002,2018-03-15,369.37
S0002,2018-03-16,254.24
S0002,2018-03-17,298.69
S0002,2018-03-18,410.61
S0002,2018-03-19,264.84
S0002,2018-03-20,328.2
S0002,2018-03-21,541.99
S0002,2018-03-22,310.28000000000003
S0002,2018-03-23,248.8
S0002,2018-03-24,373.73
S0002,2018-03-25,478.58
S0002,2018-03-26,303.59000000000003
S0002,2018-03-27,263.82
S0002,2018-03-28,114.81
S0002,2018-03-29,205.97
S0002,2018-03-30,279.07
S0002,2018-03-31,355.02
S0002,2018-04-01,478.41
S0002,2018-04-02,305.11
S0002,2018-04-03,267.64
S0002,2018-04-04,299.45
S0002,2018-04-05,217.43
S0002,2018-04-06,393.16
S0002,2018-04-07,390.67
S0002,2018-04-08,380.69
S0002,2018-04-09,296.21
S0002,2018-04-10,282.58
S0002,2018-04-11,298.91
S0002,2018-04-12,420.12
S0002,2018-04-13,395.75
S0002,2018-04-14,667.33
S0002,2018-04-15,610.22
S0002,2018-04-16,531.38
S0002,2018-04-17,385.63
S0002,2018-04-18,239.73
S0002,2018-04-19,356.74
S0002,2018-04-20,364.84000000000003
S0002,2018-04-21,617.96
S0002,2018-04-22,652.55
S0002,2018-04-23,553.94
S0002,2018-04-24,293.36
S0002,2018-04-25,274.44
S0002,2018-04-26,452.14
S0002,2018-04-27,656.31
S0002,2018-04-28,294.04
S0002,2018-04-29,489.28
S0002,2018-04-30,434.92
S0002,2018-05-01,407.05
S0002,2018-05-02,407.93
S0002,2018-05-03,412.62
S0002,2018-05-04,616.97
S0002,2018-05-05,671.53
S0002,2018-05-06,673.27
S0002,2018-05-07,510.41
S0002,2018-05-08,361.84
S0002,2018-05-09,269.59
S0002,2018-05-10,491.67
S0002,2018-05-11,397.71999999999997
S0002,2018-05-12,718.73
S0002,2018-05-13,827.1
S0002,2018-05-14,600.59
S0002,2018-05-15,1807.6100000000001
S0002,2018-05-16,1128.75
S0002,2018-05-17,916.96
S0002,2018-05-18,935.88
S0002,2018-05-19,1215.48
S0002,2018-05-20,1191.29
S0002,2018-05-21,666.13
S0002,2018-05-22,877.7800000000001
S0002,2018-05-23,379.56
S0002,2018-05-24,502.69
S0002,2018-05-25,886.72
S0002,2018-05-26,4677.830000000001
S0002,2018-05-27,5740.450000000001
S0002,2018-05-28,721.99
S0002,2018-05-29,576.9300000000001
S0002,2018-05-30,575.47
S0002,2018-05-31,652.91
S0002,2018-06-01,440.45
S0002,2018-06-02,855.25
S0002,2018-06-03,613.39
S0002,2018-06-04,713.41
S0002,2018-06-05,532.32
S0002,2018-06-06,601.8100000000001
S0002,2018-06-07,483.05
S0002,2018-06-08,241.57999999999998
S0002,2018-06-09,425.83
S0002,2018-06-10,605.06
S0002,2018-06-11,324.77
S0002,2018-06-12,510.41999999999996
S0002,2018-06-13,474.92
S0002,2018-06-14,808.1999999999999
S0002,2018-06-15,680.09
S0002,2018-06-16,359.91
S0002,2018-06-17,851.68
S0002,2018-06-18,356.46999999999997
S0002,2018-06-19,419.8
S0002,2018-06-20,274.16
S0002,2018-06-21,289.68
S0002,2018-06-22,626.75
S0002,2018-06-23,397.71999999999997
S0002,2018-06-24,473.05
S0002,2018-06-25,324.04
S0002,2018-06-26,364.51
S0002,2018-06-27,315.2
S0002,2018-06-28,410.46999999999997
S0002,2018-06-29,316.45
S0002,2018-06-30,621.0600000000001
S0002,2018-07-01,456.78000000000003
S0002,2018-07-02,532.78
S0002,2018-07-03,236.1
S0002,2018-07-04,387.27
S0002,2018-07-05,183.73
S0002,2018-07-06,266.66
S0002,2018-07-07,365.23
S0002,2018-07-08,374.68
S0002,2018-07-09,257.8
S0002,2018-07-10,352.79
S0002,2018-07-11,328.90999999999997
S0002,2018-07-12,235.29000000000002
S0002,2018-07-13,202.47
S0002,2018-07-14,362.38
S0002,2018-07-15,910.31
S0002,2018-07-16,763.92
S0002,2018-07-17,492.26000000000005
S0002,2018-07-18,321.2
S0002,2018-07-19,303.5
S0002,2018-07-20,261.65999999999997
S0002,2018-07-21,422.83
S0002,2018-07-22,503.54
S0002,2018-07-23,273.2
S0002,2018-07-24,258.93
S0002,2018-07-25,444.01
S0002,2018-07-26,273.1
