"store_id","date","summed_revenue","result_arima_xreg"
"S0036",2019-09-01,1613.28,3549.18
"S0036",2019-09-08,1552.92,4586.53
"S0036",2019-09-15,2018.23,4569.91
"S0036",2019-09-22,1185.74,3522.85
"S0036",2019-09-29,1684.47,3525.64
"S0038",2019-09-01,8794.7,16425.72
"S0038",2019-09-08,9482.83,17528.57
"S0038",2019-09-15,9195.3,18318.11
"S0038",2019-09-22,7981.76,16814.77
"S0038",2019-09-29,10445.6,16831.57
"S0039",2019-09-01,595.78,1292.52
"S0039",2019-09-08,784.55,1083.42
"S0039",2019-09-15,627.13,1117.92
"S0039",2019-09-22,632.01,1002.78
"S0039",2019-09-29,1049.1,1027.87
"S0040",2019-09-01,3278.88,6235.29
"S0040",2019-09-08,3793.41,5850.17
"S0040",2019-09-15,4288.84,7591.16
"S0040",2019-09-22,4949.22,5988.84
"S0040",2019-09-29,3908.95,5469.16
"S0041",2019-09-01,319.39,215.36
"S0041",2019-09-08,228.27,220.25
"S0041",2019-09-15,209.61,219.04
"S0041",2019-09-22,143.22,207.39
"S0041",2019-09-29,139.75,208.88
"S0045",2019-09-01,638.9,1463.76
"S0045",2019-09-08,819.72,1155.07
"S0045",2019-09-15,757.19,1259.88
"S0045",2019-09-22,1027.42,1109.09
"S0045",2019-09-29,993.66,1119.73
"S0046",2019-09-01,939,7189.14
"S0046",2019-09-08,1087.48,8247.13
"S0046",2019-09-15,1181.58,8261.1
"S0046",2019-09-22,1057.04,7244.96
"S0046",2019-09-29,1528.96,7245.85
"S0050",2019-09-01,2826.01,5245.47
"S0050",2019-09-08,2663.06,4773.59
"S0050",2019-09-15,2843.01,4473.51
"S0050",2019-09-22,2429.3,3262.12
"S0050",2019-09-29,2124.72,3624.43
"S0052",2019-09-01,1325.52,1773.65
"S0052",2019-09-08,1166.98,1370.5
"S0052",2019-09-15,1026.7,1368.81
"S0052",2019-09-22,1383.06,1137.03
"S0052",2019-09-29,1704.37,1136.39
"S0055",2019-09-01,1303.78,2150.4
"S0055",2019-09-08,1732.97,2114.82
"S0055",2019-09-15,1600.22,1843.65
"S0055",2019-09-22,1336.62,2181.78
"S0055",2019-09-29,2037.8,1786.47
"S0056",2019-09-01,4590.57,13469.12
"S0056",2019-09-08,4551,14256.7
"S0056",2019-09-15,5398.21,16497.07
"S0056",2019-09-22,4417.42,13914.59
"S0056",2019-09-29,6400.11,14105.66
"S0058",2019-09-01,1784.19,4128.71
"S0058",2019-09-08,1876.47,4338.49
"S0058",2019-09-15,2462.81,4715.43
"S0058",2019-09-22,1747.08,4467.3
"S0058",2019-09-29,1833.4,4263.72
"S0059",2019-09-01,1054.41,1996.71
"S0059",2019-09-08,1269.29,1647.97
"S0059",2019-09-15,938.88,1657.77
"S0059",2019-09-22,1133.21,1472.7
"S0059",2019-09-29,1156.34,1484.57
"S0061",2019-09-01,3299.42,14741.47
"S0061",2019-09-08,3938.56,16847.69
"S0061",2019-09-15,4604.98,16920.89
"S0061",2019-09-22,3617.98,14809.96
"S0061",2019-09-29,3423.16,14830.68
"S0062",2019-09-01,9141.85,16550.16
"S0062",2019-09-08,10623.03,16063.37
"S0062",2019-09-15,11823.53,17860.75
"S0062",2019-09-22,10063.72,13192.86
"S0062",2019-09-29,13125.9,13163.09
"S0067",2019-09-01,1537.99,5936.28
"S0067",2019-09-08,2092.81,6346.31
"S0067",2019-09-15,2310.53,7088.36
"S0067",2019-09-22,1845.99,6462.87
"S0067",2019-09-29,1779.58,6486.96
"S0068",2019-09-01,366.31,746.96
"S0068",2019-09-08,453.18,965.43
"S0068",2019-09-15,458.18,963.49
"S0068",2019-09-22,607.66,742.89
"S0068",2019-09-29,1121.8,745.35
"S0071",2019-09-01,2001.81,3317.7
"S0071",2019-09-08,1916.15,3330.49
"S0071",2019-09-15,1966.25,3171.22
"S0071",2019-09-22,1918.29,2625.89
"S0071",2019-09-29,2190.63,2650.49
"S0072",2019-09-01,3331,7914.85
"S0072",2019-09-08,2895.04,8331
"S0072",2019-09-15,3292.65,8332.17
"S0072",2019-09-22,3448.67,7917.93
"S0072",2019-09-29,3368.47,7919.41
"S0073",2019-09-01,1415.66,2392.35
"S0073",2019-09-08,1761.06,2099.62
"S0073",2019-09-15,1322.83,2104.14
"S0073",2019-09-22,1386.7,1822.8
"S0073",2019-09-29,1306.52,1833.83
"S0076",2019-09-01,1445.28,1146.59
"S0076",2019-09-08,1340.22,1145.34
"S0076",2019-09-15,1606.43,1146.74
"S0076",2019-09-22,1378.22,1155.54
"S0076",2019-09-29,1540.44,1153.28
"S0077",2019-09-01,370.93,464.31
"S0077",2019-09-08,384.62,482.85
"S0077",2019-09-15,484.36,483.98
"S0077",2019-09-22,592.53,471.57
"S0077",2019-09-29,607.48,469.72
"S0080",2019-09-01,1557.01,2666.32
"S0080",2019-09-08,1793.05,2348.75
"S0080",2019-09-15,1718.48,2352.25
"S0080",2019-09-22,2017.07,2244.97
"S0080",2019-09-29,2036.34,2241.66
"S0083",2019-09-01,735.24,1627.48
"S0083",2019-09-08,587.89,842.95
"S0083",2019-09-15,928.98,1136.35
"S0083",2019-09-22,611.1,1012.14
"S0083",2019-09-29,659.12,1014.95
"S0085",2019-09-01,20109.16,37417.55
"S0085",2019-09-08,23264.68,36992.41
"S0085",2019-09-15,18034.87,40731.88
"S0085",2019-09-22,17483.93,37720.03
"S0085",2019-09-29,17327.44,37116.72
"S0086",2019-09-01,542.35,828.29
"S0086",2019-09-08,443.94,822.21
"S0086",2019-09-15,358.98,818.1
"S0086",2019-09-22,422.05,751.03
"S0086",2019-09-29,534.46,750.68
"S0088",2019-09-01,1220.41,3009.21
"S0088",2019-09-08,993.06,3478.34
"S0088",2019-09-15,743.73,3816.3
"S0088",2019-09-22,833.22,3161.18
"S0088",2019-09-29,1127.17,3165.53
"S0089",2019-09-01,509.15,546.49
"S0089",2019-09-08,485.59,671.66
"S0089",2019-09-15,517.18,672.8
"S0089",2019-09-22,640.94,547.95
