"store_id","date","summed_revenue","ses_revenue","hold_revenue","hold_damped_revenue","ets_revenue","stlf_revenue"
"S0068",2019-09-08,453.18,801.0582894815,718.428784064393,644.376393939639,680.706016871842,750.190337524932
"S0068",2019-09-15,458.18,801.0582894815,725.030059243796,653.286594022406,680.706016871842,825.224798652543
"S0068",2019-09-22,607.66,801.0582894815,731.6313344232,661.945800998745,680.706016871842,795.072649311442
"S0068",2019-09-29,1121.8,801.0582894815,738.232609602604,670.361085140801,680.706016871842,770.736110498383
"S0071",2019-09-01,2001.81,4001.29820954181,1985.33998004654,2019.56236041099,4083.89794304493,NA
"S0071",2019-09-08,1916.15,4001.29820954181,2033.38456168803,2021.05302163837,4083.89794304493,NA
"S0071",2019-09-15,1966.25,4001.29820954181,2081.42914332953,2022.45702387636,4083.89794304493,NA
"S0071",2019-09-22,1918.29,4001.29820954181,2129.47372497103,2023.77940501035,4083.89794304493,NA
"S0071",2019-09-29,2190.63,4001.29820954181,2177.51830661252,2025.02491005031,4083.89794304493,NA
"S0072",2019-09-01,3331,8146.37395565092,8104.26687235063,8154.53156931109,8597.7652145773,5372.46559491836
"S0072",2019-09-08,2895.04,8146.37395565092,8121.84921798192,8236.77383851076,8597.7652145773,5732.78112375284
"S0072",2019-09-15,3292.65,8146.37395565092,8139.43156361322,8317.37125671795,8597.7652145773,5703.94110345188
"S0072",2019-09-22,3448.67,8146.37395565092,8157.01390924451,8396.3567210647,8597.7652145773,5455.60329398898
"S0072",2019-09-29,3368.47,8146.37395565092,8174.59625487581,8473.76247073813,8597.7652145773,5320.08088313101
"S0073",2019-09-01,1415.66,2940.67366749904,1512.58753801444,1458.93906551229,3937.61462797176,1802.97795140813
"S0073",2019-09-08,1761.06,2940.67366749904,1577.76340002447,1524.53859950967,3937.61462797176,1938.47019742155
"S0073",2019-09-15,1322.83,2940.67366749904,1642.93926203451,1588.82614151088,3937.61462797176,2423.76088847375
"S0073",2019-09-22,1386.7,2940.67366749904,1708.11512404455,1651.82793138216,3937.61462797176,2131.92948986416
"S0073",2019-09-29,1306.52,2940.67366749904,1773.29098605459,1713.56968419191,3937.61462797176,1847.80765536613
"S0076",2019-09-01,1445.28,1105.88945541887,1126.95957907469,1099.20691979313,1107.19124629978,NA
"S0076",2019-09-08,1340.22,1105.88945541887,1142.20668713182,1099.21755816533,1107.19124629978,NA
"S0076",2019-09-15,1606.43,1105.88945541887,1157.45379518895,1099.22675307818,1107.19124629978,NA
"S0076",2019-09-22,1378.22,1105.88945541887,1172.70090324609,1099.23470038634,1107.19124629978,NA
"S0076",2019-09-29,1540.44,1105.88945541887,1187.94801130322,1099.24156937011,1107.19124629978,NA
"S0077",2019-09-01,370.93,453.740020502269,457.615562881966,452.395270842947,453.78690247956,387.070874371674
"S0077",2019-09-08,384.62,453.740020502269,457.754164816194,452.39577318292,453.78690247956,426.712854467099
"S0077",2019-09-15,484.36,453.740020502269,457.892766750422,452.396236169303,453.78690247956,600.10483741245
"S0077",2019-09-22,592.53,453.740020502269,458.03136868465,452.396662885075,453.78690247956,483.612638668785
"S0077",2019-09-29,607.48,453.740020502269,458.169970618878,452.397056171697,453.78690247956,520.336691222808
"S0080",2019-09-01,1557.01,2293.28896391588,2254.34005558533,2249.63483077625,2033.31333160849,1802.55297942984
"S0080",2019-09-08,1793.05,2293.28896391588,2264.40213482685,2250.91300329145,2045.28916250647,1859.37579847899
"S0080",2019-09-15,1718.48,2293.28896391588,2274.46421406838,2252.16561228379,2057.26499340445,1885.13153305451
"S0080",2019-09-22,2017.07,2293.28896391588,2284.5262933099,2253.39316902516,2069.24082430243,1959.01935062558
"S0080",2019-09-29,2036.34,2293.28896391588,2294.58837255142,2254.59617456201,2081.21665520041,2050.01247492514
"S0083",2019-09-01,735.24,905.067136933014,941.403823495155,908.18507561817,1203.47443706223,1330.49117675235
"S0083",2019-09-08,587.89,905.067136933014,943.781300853645,908.325796660426,1266.09065101384,1309.86519511084
"S0083",2019-09-15,928.98,905.067136933014,946.158778212135,908.438373548154,1328.70686496545,830.729081701685
"S0083",2019-09-22,611.1,905.067136933014,948.536255570625,908.528435101475,1391.32307891707,691.737853542842
"S0083",2019-09-29,659.12,905.067136933014,950.913732929115,908.600484378643,1453.93929286868,720.427117612899
"S0085",2019-09-01,20109.16,29725.7167578954,29694.4825121454,29587.4989793183,38229.3460507425,23437.2406211929
"S0085",2019-09-08,23264.68,29725.7167578954,29827.5542343052,29589.8058735983,38229.3460507425,23636.1831836476
"S0085",2019-09-15,18034.87,29725.7167578954,29960.625956465,29591.8658429177,38229.3460507425,25486.6184336267
"S0085",2019-09-22,17483.93,29725.7167578954,30093.6976786248,29593.7053175886,38229.3460507425,24205.51989701
"S0085",2019-09-29,17327.44,29725.7167578954,30226.7694007846,29595.3478988801,38229.3460507425,24276.0743306977
"S0086",2019-09-01,542.35,944.477964313764,945.549862787021,942.33666241511,870.752718135125,536.315213669274
"S0086",2019-09-08,443.94,944.477964313764,977.834946575315,973.679252881871,870.752718135125,506.839108792527
"S0086",2019-09-15,358.98,944.477964313764,1010.12003036361,1004.39498930089,870.752718135125,563.954917781163
"S0086",2019-09-22,422.05,944.477964313764,1042.4051141519,1034.4964087979,870.752718135125,501.517628780784
"S0086",2019-09-29,534.46,944.477964313764,1074.6901979402,1063.9957977552,870.752718135125,525.119365429483
"S0088",2019-09-01,1220.41,2833.41140585235,2794.23256221435,2820.16614083152,3803.19521386408,1654.07875273557
"S0088",2019-09-08,993.06,2833.41140585235,2809.63266596673,2836.04936229442,3803.19521386408,1711.44674994315
"S0088",2019-09-15,743.73,2833.41140585235,2825.0327697191,2851.61455718248,3803.19521386408,2093.50544157153
"S0088",2019-09-22,833.22,2833.41140585235,2840.43287347148,2866.86809327836,3803.19521386408,1812.49627871766
"S0088",2019-09-29,1127.17,2833.41140585235,2855.83297722386,2881.81621086388,3803.19521386408,1791.15648337447
"S0089",2019-09-01,509.15,599.251109757258,599.578488918798,605.967478611254,637.861722915255,521.412564511187
"S0089",2019-09-08,485.59,599.251109757258,607.445026865109,615.317757390058,648.505248256224,570.511373198063
"S0089",2019-09-15,517.18,599.251109757258,615.31156481142,624.471538816317,659.148773597193,740.836718810008
"S0089",2019-09-22,640.94,599.251109757258,623.178102757732,633.43295230804,669.792298938163,675.579500003904
"S0089",2019-09-29,593.75,599.251109757258,631.044640704043,642.206040502964,680.435824279132,618.751137286629
"S0091",2019-09-01,1518.55,5214.53752556701,5478.66271019873,5458.04836256815,6306.79106258002,3168.80295721185
"S0091",2019-09-08,2291.95,5214.53752556701,5976.15135494605,5945.01146542363,7568.41641944669,3242.09197604542
